number,value,datetime_start,datetime_complete,duration,params_batch_size,params_fusion_dropout,params_fusion_x1,params_fusion_x2,params_fusion_x3,params_ground_activation,params_ground_graph_layers,params_ground_hidden_size,params_ground_time_layers,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_sat_conv1_channels,params_sat_conv2_channels,params_sat_feature_dim,params_sat_head_hidden_dim,params_sat_temporal_layers,params_weight_decay,state
60,0.01973429717082505,2026-02-04 03:17:36.615157,2026-02-04 03:26:40.964765,0 days 00:09:04.349608,64,0.30387698163300714,32,32,32,gelu,1,16,2,0.2584584195938363,0.0009366128170497263,0.6208451541918829,9,1.733899460809492,32,128,64,32,1,5.7882504767551685e-06,PRUNED
61,0.021708377541997705,2026-02-04 03:26:40.973136,2026-02-04 03:37:14.813867,0 days 00:10:33.840731,64,0.3533556952961303,128,32,32,gelu,3,64,2,0.37344084499174585,0.0006034695008422563,0.5927881593543781,10,1.3297116400005122,32,128,128,32,1,1.1545879091641079e-05,PRUNED
62,0.010209232350758901,2026-02-04 03:37:14.822074,2026-02-04 04:03:45.077981,0 days 00:26:30.255907,64,0.26615489099509615,32,32,32,gelu,1,64,2,0.10621910184524314,0.0020834140275894694,0.6060328280568449,8,1.8359208869314885,32,128,64,32,1,3.7168630552960235e-06,COMPLETE
63,0.014015681942904958,2026-02-04 04:03:45.088357,2026-02-04 04:14:05.860741,0 days 00:10:20.772384,64,0.26241159857261076,32,32,32,gelu,1,64,2,0.17341555149206517,0.0019260921759475414,0.6145925501415728,10,1.8543975572616993,32,128,64,32,1,5.011808766018672e-06,PRUNED
64,0.02392531457206662,2026-02-04 04:14:05.874776,2026-02-04 04:24:18.353031,0 days 00:10:12.478255,64,0.3362529158535238,32,32,32,gelu,1,64,2,1.6994607162170334,0.0019461444459484317,0.5509012175463857,8,1.5859172793506566,32,128,64,32,1,2.1444548278156522e-05,PRUNED
65,0.016479566181364976,2026-02-04 04:24:18.369123,2026-02-04 04:34:43.091878,0 days 00:10:24.722755,64,0.3002627737126644,32,32,32,gelu,1,64,2,0.22632265159945988,0.0030000968370441465,0.6079306463097176,9,2.069933921925729,32,128,64,16,1,8.110667230689906e-06,PRUNED
66,0.019238140594272087,2026-02-04 04:34:43.107655,2026-02-04 04:45:07.105688,0 days 00:10:23.998033,64,0.2412522771624437,32,32,32,selu,1,64,2,0.3244763654070355,0.0023545593582585105,0.6465041141894615,9,2.363951977074095,32,128,64,32,1,2.6052352616259844e-06,PRUNED
67,0.015399011324122717,2026-02-04 04:45:07.114705,2026-02-04 04:57:17.755067,0 days 00:12:10.640362,128,0.26989696693008913,32,32,8,gelu,1,64,2,0.17906882762096632,0.001314258158561821,0.6248490606928374,7,1.7048002739206525,64,32,64,32,1,1.3814088626322793e-05,PRUNED
68,0.009708149363303376,2026-02-04 04:57:17.763389,2026-02-04 05:16:00.446999,0 days 00:18:42.683610,64,0.2858621981554313,32,32,32,relu,1,64,2,0.10178980558868923,0.004088417862758475,0.5887693296546621,10,1.4653604009103738,32,128,32,32,1,1.7077751939223614e-05,COMPLETE
69,0.023586827108389875,2026-02-04 05:16:00.460490,2026-02-04 05:26:19.978355,0 days 00:10:19.517865,64,0.2246055015397264,32,32,32,relu,2,64,2,0.9359421641632744,0.004526346685294702,0.5711863499197132,10,1.3954290945943089,32,128,32,32,1,1.6773062591257617e-05,PRUNED
70,0.021145627274777645,2026-02-04 05:26:19.987249,2026-02-04 05:36:28.764854,0 days 00:10:08.777605,64,0.3237687683888924,64,64,32,relu,1,64,2,0.4498031841003107,0.007556270924361589,0.6844096566646515,10,1.0374622151202364,32,128,32,32,1,4.231484401858403e-05,PRUNED
71,0.016306538624443565,2026-02-04 05:36:28.773608,2026-02-04 05:45:53.762892,0 days 00:09:24.989284,64,0.2517805197773785,32,32,16,relu,1,32,2,0.2630509798859997,0.00997475664721486,0.6350082084013151,9,1.244491809049828,32,128,32,32,1,1.6450857259832847e-06,PRUNED
72,0.00954941305093402,2026-02-04 05:45:53.773133,2026-02-04 06:20:56.297156,0 days 00:35:02.524023,64,0.2868069344183677,32,32,32,relu,1,64,2,0.10058429753587354,0.004012829629578876,0.5834849256882524,10,1.8880101934369913,32,128,32,32,1,2.4306752464156882e-05,COMPLETE
